;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
end_of_natural_dyes_title;An End to Natural Dyes?;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
end_of_natural_dyes_desc;The discovery of man-made synthetic dyes in the mid-19th century triggered a long decline in the large-scale market for natural dyes. Synthetic dyes, which can be produced in large quantities, quickly superseded natural dyes for the commercial textile production enabled by the industrial revolution, and unlike natural dyes, are suitable for the synthetic fibres that followed. In a few of our provinces, the production of natural dyes is in a steady decline for a few years and now producers can barely sell their product. Faced with bankruptcy, most dye producers are looking for new goods to sell. We can help them look for new markets.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
western_campaing_rut_title;The Western Campaign;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
western_campaing_rut_desc;The Campaing to conquer the westernmost Slavs in Germanic lands is at hand;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
form_lotharingia_title;Unite the Kingdom of Lothair!;;;;;;;;;;;;;
form_lotharingia_desc;The Kingdom of Lotharingia is once again united after the long, gruesome conflict that engulfed the Karling realm. With the usurping rival of our king defeated soundly, once again there shall be a Carolingian kingdom on the world stage, prepared to solidify its role as the heir to the Holy Roman Emperor of old!;;;;;;;;;;;;;
reclaim_burgundy_title;Reclaim the Kingdom of Burgundy!;;;;;;;;;;;;;
reclaim_burgundy_desc;The Kingdom of Burgundy lies directly to the south of the lands of Lothair, a former domain that must be reclaimed in short order. The king must take care to enforce this claim soon, as in this age of nationalism and ethnic unification the titles of old may soon become all but obsolete on the world stage.;;;;;;;;;;;;;
the_king_of_italy_title;The Karling King of Italy;;;;;;;;;;;;;
the_king_of_italy_desc;When the Carolingian Empire first collapsed into utter ruin all those years ago and the kingdom of Lotharingia was born from its ashes, the lands of Northern Italy were assigned to Lothair. However, these lands were never easy to occupy, and despite the best efforts of Middle Frankia the lands of northern italy steadily fell away from the influence of the heirs to Charlemagne. Now, under the guidance of the latest of the house of Charlemagne, the kingdom of Italy can be reclaimed once again!;;;;;;;;;;;;;
centralize_parthia_title;Centralize Parthia!;;;;;;;;;;;;;
centralize_parthia_desc;The northern lands of Parthia have long been a decentralized collection of tribal allegiances and tributary clients to the empire. As the nation of Parthia makes its way into the modern day, these arrangements must be updated to reflect the greater pull of the central government.;;;;;;;;;;;;;
yuan_restoration_title;The Mongol Hand in China;;;;;;;;;;;;;
yuan_restoration_desc;The Mongol Empire was once the greatest empire in all of human history, stretching from the Pacific sea to the distant Black sea, menacing the greatest of Asian Empires at the same time as it marched upon the lands of Macedonia and Pannonia. With Peking in our hands once again, Mongolia shall fill the role of the Yuan dynasty of old, coming once again to dominate the lands of the east.;;;;;;;;;;;;;
annex_the_tuvans_title;Annex the Tuvans;;;;;;;;;;;;;
annex_the_tivans_desc;The Tuvan peoples lie as a vassal state of the great Mongol Empire, but lack the power or prestige to resist further integration by any means. it will be simple to reorganize them as a province once again.;;;;;;;;;;;;
reclamation_of_the_western_steppe_title;Reclaim the Western Steppes;;;;;;;;;;;;;
reclamation_of_the_western_steppe_desc;The Western Steppes were once united with the great Mongol Empire of old, but as the years have worn on these lands fell more and more into petty squabbling fiefdoms and miniscule khanates of little renown. Uniting these lands is essential if Mongolia is to reclaim its place at the center of the world.;;;;;;;;;;;;;
core_the_yakuts_title;Bring the Yakuts into the fold!;;;;;;;;;;;;;
core_the_yakuts_desc;The Yakuts form the northeastern frontier of the Mongol steppes. The gateway into eastern siberia, these lands themselves are not worth much, but the peoples remain adjacent to the Mongol peoples and culture nonetheless, and so they must be united under the Khan.;;;;;;;;;;;;;;;
core_further_west_title;The Horde marches west!;;;;;;;;;;;;;
core_further_west_desc;The Mongol Empire has once again united the steppes of central asia under its banner, but this is still not enough. The Empire must once again place itself at the gates of Europe as the greatest empire the world has ever seen, and it must unite the disparate Altaic peoples into one empire, under one Khan, destined to conquer the world.;;;;;;;;;;;;;
unite_sogdia_title;Unite the Sogdians!;;;;;;;;;;;;;
unite_sogdia_desc;The Sogdians were, for much of the Classical period, the gateway to the steppes, and a prosperous merchant kingdom all their own. The Sogdian realm was wealthy and powerful, but years of disrepair and nomadic invasions have left this realm ruined. Unite Sogdia once more, and let the world remember the wealth and prestige it once held!;;;;;;;;;;;;;
become_saoshyant_title;Become the Saoshyant!;;;;;;;;;;;;;
become_saoshyant_desc;The lands of Persia have been for centuries governed and controlled by the foreigner Manichaeans, whose heresy has steadily eroded the national and cultural fabric of the Zoroastrian peoples. The ancient Sassanids have remained all this time within their fortresses in the lands of Caucasia, awaiting the opportunity to bring back the true Mazdayan faith to the empire. Should Esfahan fall to the hands of the Sassanid peoples, this shall surely signal the end of foreign rule over Persia, and show the Sassanid Shah to be the truly prophesized Saoshyant, the savior of the world!;;;;;;;;;;;;;
conquest_of_anatolia_title;The Conquest of Anatolia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
conquest_of_anatolia_desc;The lands of Anatolia were lost centuries ago at the hands of the migrating peoples of the Kurds and the Manichaean menace of the east. The ancient borderlands of the Roman Empire, the mountains and hills of Anatolia must be reclaimed if the empire is to ever recover from the rut the ruinous Hellenes drove it into.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
crusade_for_levant_title;The Levantine Crusade;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
crusade_for_levant_desc;Although the ancient crusading efforts to reclaim the holy lands of the Levant have ceased for many hundreds of years, the lands of the Levant remain deeply important to the Roman Empire of the east, and reviving this spirit of religious struggle within the population will prove deeply useful both for maintaining Latin rule in Constantinople and for restoring the ancient borders of the empire.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reconquest_of_danube_title;Reconquest of the Danube;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reconquest_of_danube_desc;The Danube frontier in the north was lost many years ago to the forces of migration and rot left behind by the ruinous Hellenes. The vitality of the empire cannot be considered secure as long as the very heartlands of the Latinokratia are under threat of siege from the northwest. Bringing these lands under heel will make the general population feel substantially more secure.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
crusade_for_egypt_title;The Crusade for the Nile;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
crusade_for_egypt_desc;Alexandria was long the mercantile and economic heart of the Eastern Empire before its loss at the hands of insurgency and disloyalty, doubtlessly spurred on by the treacherous Hellenes. Bring these lands back under control, and the East will once again remember its place within the Latin Empire;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
crusade_for_mesopotamia_title;The Legacy of Trajan;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
crusade_for_mesopotamia_desc;The greatest territorial extent of the ancient empire of the Latins exists just within reach once more. The lands of Mesopotamia, ripe for the taking, will make for a fine eastern frontier. Destroying the Manichaean menace that has long brought such misery to the Christians of the West is the greatest imperative the empire could ever take upon itself, and the ecclesiastical authority of the ancient empire will never again be brought into question should success be achieved.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_frisia_title;The Reclamation of Frisia.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
